time,imsi,cellId,isServingCell?,RSRP(dBm),RSRQ(dB)
0.381,1,7,1,-57.604,-7.455
0.381,1,8,0,-86.496,-36.347
0.381,1,9,0,-85.297,-35.148
0.381,2,1,0,-60.534,-14.552
0.381,2,2,0,-74.901,-28.919
0.381,2,3,0,-86.186,-40.204
0.381,2,4,0,-79.413,-33.431
0.381,2,5,0,-53.861,-7.879
0.381,2,6,0,-82.309,-36.327
0.381,2,7,1,-51.224,-5.242
0.381,2,8,0,-79.912,-33.930
0.381,2,9,0,-79.436,-33.455
0.386,1,1,0,-60.518,-10.368
0.386,1,2,0,-89.770,-39.619
0.386,1,3,0,-89.770,-39.619
